sample_id,style_condition,ccer_score,gold_entity_count,error_type_profile
scenario_001_clinical_charting,clinical_charting,1.1429,14,"{""omission"": 2, ""numeric_error"": 3, ""hallucination"": 1}"
scenario_001_formal_template,formal_template,1.5714,14,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_001_telegraphic_icu,telegraphic_icu,0.5714,14,"{""numeric_error"": 2, ""omission"": 1}"
scenario_002_clinical_charting,clinical_charting,1.2857,14,"{""omission"": 6, ""numeric_error"": 2}"
scenario_002_formal_template,formal_template,1.3571,14,"{""omission"": 8, ""hallucination"": 1}"
scenario_002_telegraphic_icu,telegraphic_icu,0.8571,14,"{""omission"": 6}"
scenario_003_clinical_charting,clinical_charting,1.1333,15,"{""omission"": 7, ""numeric_error"": 1}"
scenario_003_formal_template,formal_template,1.2667,15,"{""omission"": 8, ""numeric_error"": 1}"
scenario_003_telegraphic_icu,telegraphic_icu,1.3333,15,"{""omission"": 7, ""hallucination"": 1, ""numeric_error"": 1}"
scenario_004_clinical_charting,clinical_charting,0.9333,15,"{""hallucination"": 1, ""numeric_error"": 1, ""omission"": 4}"
scenario_004_formal_template,formal_template,1.1333,15,"{""omission"": 7, ""hallucination"": 1}"
scenario_004_telegraphic_icu,telegraphic_icu,1.2667,15,"{""hallucination"": 2, ""omission"": 5, ""numeric_error"": 1}"
scenario_005_clinical_charting,clinical_charting,0.9333,15,"{""omission"": 4, ""numeric_error"": 2}"
scenario_005_formal_template,formal_template,1.3333,15,"{""omission"": 10}"
scenario_005_telegraphic_icu,telegraphic_icu,0.9333,15,"{""omission"": 4, ""numeric_error"": 2}"
scenario_006_clinical_charting,clinical_charting,0.9333,15,"{""numeric_error"": 2, ""omission"": 4}"
scenario_006_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_006_telegraphic_icu,telegraphic_icu,0.9333,15,"{""omission"": 7}"
scenario_007_clinical_charting,clinical_charting,1.0,14,"{""omission"": 7}"
scenario_007_formal_template,formal_template,1.2857,14,"{""omission"": 9}"
scenario_007_telegraphic_icu,telegraphic_icu,1.3571,14,"{""omission"": 2, ""hallucination"": 1, ""numeric_error"": 4}"
scenario_008_clinical_charting,clinical_charting,1.375,16,"{""omission"": 5, ""hallucination"": 2, ""numeric_error"": 2}"
scenario_008_formal_template,formal_template,1.125,16,"{""omission"": 9}"
scenario_008_telegraphic_icu,telegraphic_icu,1.1875,16,"{""omission"": 5, ""hallucination"": 1, ""numeric_error"": 2}"
scenario_009_clinical_charting,clinical_charting,1.6,15,"{""omission"": 6, ""hallucination"": 3, ""numeric_error"": 1}"
scenario_009_formal_template,formal_template,1.4,15,"{""omission"": 9, ""hallucination"": 1}"
scenario_009_telegraphic_icu,telegraphic_icu,1.0667,15,"{""omission"": 8}"
scenario_010_clinical_charting,clinical_charting,1.0,15,"{""omission"": 3, ""numeric_error"": 3}"
